L,a,b
31.3418,77.3813,-105.5298
46.6194,72.8465,41.4296
20.427,42.3323,25.2635
47.0353,-33.5222,0.3433
27.2403,-35.5009,32.5896
52.0365,78.7558,62.4314
22.6098,54.6249,-56.0441
62.5787,-44.0933,63.9783
26.5887,-33.9135,34.1008
42.2098,3.9467,-46.1993
45.9971,-49.849,42.1263
27.2408,66.9115,-84.1255
78.723,-29.3688,78.4106
15.0267,39.3811,-21.0158
19.848,35.3329,-60.2025
76.8502,-64.4971,75.0052
52.7857,9.5194,59.0263
33.9154,-24.1873,-3.7289
59.2529,-58.9483,60.4931
0.5779,3.3196,-5.0156
78.1087,-77.4619,71.8636
80.854,-42.8607,-13.7501
73.9462,-74.4189,70.5575
66.9027,-68.0423,66.5102
28.1998,51.6618,21.9976
14.3089,43.5597,-46.7991
38.6941,65.0577,5.5097
57.761,-30.7727,60.6109
38.2056,71.2237,-52.0222
49.6106,76.3836,41.4766
81.7524,-64.3274,79.131
52.3581,41.6469,61.5714
51.6213,80.1937,10.5337
69.7891,-70.8171,68.8088
18.2132,54.704,-72.2067
38.497,5.2439,46.589
19.3663,56.5262,-74.5736
29.3614,-6.2612,-25.2427
15.9826,50.6486,-65.971
89.7796,-14.067,88.7234
31.1354,-5.465,-27.4872
37.579,-6.5968,44.9745
84.9628,-83.6914,79.9922
33.8865,50.8867,47.2332
28.5402,3.0401,-35.3724
51.5708,-19.1749,-25.0512
41.821,65.3645,55.8868
57.6506,94.0859,-54.0429
22.8098,58.9649,-71.8082
20.25,-29.1006,27.6667
91.5964,-17.4805,90.0415
10.137,9.3866,-28.6785
43.4364,-48.9762,45.6445
23.2482,54.3556,-51.8215
34.0488,-26.9458,0.8543
17.001,12.523,25.0784
43.7149,74.0015,-26.6158
28.4788,46.9722,-77.438
47.9789,4.8144,54.5942
11.6392,42.6255,-53.2929
21.8184,61.1756,-81.9783
53.9394,-24.788,-19.1031
32.4244,9.016,-44.5838
23.5592,54.0458,-48.7675
50.107,85.2877,-53.9806
66.9725,-61.1434,66.8676
62.5034,-61.3183,46.5054
79.2752,-53.8758,77.5519
57.0727,-37.9877,59.6479
18.9227,30.8028,-55.4435
19.718,56.0788,-72.1303
48.3155,-43.6325,52.0027
41.4829,35.5629,51.833
61.1943,3.4044,65.6935
39.2265,80.8454,-91.0552
37.0865,64.7165,-13.7366
49.4535,75.956,50.5047
80.8889,-56.5113,9.6505
22.9561,59.3906,-72.7809
29.6981,62.2227,-55.3199
72.9589,23.6089,77.25
37.1601,63.6233,-0.1333
49.1318,75.4064,59.0029
29.3617,53.7262,8.1932
32.2789,56.6857,17.9949
70.9217,-63.9621,70.0543
39.9521,-40.0938,22.1743
20.7724,-18.0381,28.6076
31.1674,57.7779,-14.9366
56.1807,88.1975,-20.7143
13.9324,35.8976,-1.0359
72.7048,-73.0785,71.1535
87.8019,-85.5699,83.2612
70.1478,-70.449,63.635
73.4804,-34.8346,73.6657
9.2984,40.6263,-53.9351
41.1492,60.3197,54.6058
43.5447,30.3334,53.0292
1.7435,-2.42,2.5669
36.441,67.0049,-38.5705
6.0322,14.0907,-30.3931
63.171,-30.8884,-17.526
82.1735,-81.1562,76.6648
27.5221,-1.0549,-30.0543
49.3369,-22.2151,-19.1787
22.8154,62.9044,-84.4896
85.1405,-82.1263,81.1792
47.6992,-18.4129,52.8083
92.219,-46.3995,88.8576
18.994,56.7985,-76.4334
93.2892,-29.2918,90.7409
77.976,-33.8731,77.5192
24.7802,66.3248,-89.4757
27.4039,58.3177,-48.6332
5.2996,-10.0651,7.7525
71.8555,-0.1644,74.4752
44.5044,70.4119,39.1495
65.2887,-51.3318,65.9057
20.0007,48.4109,-40.5446
52.6823,87.8091,-50.8674
11.1197,37.5988,-54.8685
3.9013,17.9485,2.4767
64.1789,-62.3788,46.6289
24.4339,35.1515,-63.7355
26.9326,55.5599,-36.1268
61.402,-56.1932,62.4161
10.9691,37.2697,-54.4628
40.3897,67.588,-1.4424
9.7147,37.1194,-53.2549
46.9565,60.2173,59.2934
50.2285,-52.6296,42.5401
76.0775,-53.9995,74.8535
43.0951,73.9111,-31.8844
25.6275,-12.7481,34.0798
18.6163,55.0546,-72.1429
86.2219,-84.6042,81.9797
61.7891,-29.2457,64.0988
30.149,-28.8285,37.4308
59.7135,-58.1205,60.915
92.2531,-33.2664,89.6281
28.0978,24.183,-56.4893
49.808,84.5668,-51.5886
51.8685,78.6228,58.8165
33.795,77.0366,-96.8203
24.1344,45.674,-72.7247
31.5769,77.2474,-103.9942
30.0559,-22.1309,-3.7457
38.6755,74.7822,-67.8077
48.4948,-11.7997,53.8878
11.0143,43.3991,-57.6466
13.8765,39.4754,-29.9091
27.4973,-26.4379,35.2466
41.5014,-44.6146,33.0222
43.8301,-48.7601,43.4418
21.6392,45.1592,-70.2002
85.1625,-70.2073,81.7229
71.9792,-39.8625,72.1235
43.5111,-19.3932,-18.644
40.0775,65.7728,22.4239
79.9474,-51.5566,78.2346
83.728,-51.5291,-2.0711
54.0646,82.6453,18.5639
78.4013,-71.9817,75.9713
21.7199,-24.1643,29.4757
86.4584,-44.4666,-15.903
28.4548,72.4006,-97.8348
12.9378,35.1671,-6.3493
58.749,-54.983,33.5326
